Label,Red Mean,Green Mean,Blue Mean,Red StdDev,Green StdDev,Blue StdDev,Contrast,Energy,Homogeneity,Correlation,Area,Perimeter,Aspect Ratio
5,75.88955945032333,70.11251128537835,61.56520717855043,61.028954216649566,54.43748235035486,49.18769236615391,54.580999684642066,0.04414697021527473,0.4576172155516188,0.9912235914883016,760056.0,3718.9705624580383,0.75
5,75.37790664105148,69.6951884920635,61.13698349710254,60.60145520898006,53.997248002006394,48.72448280229993,55.61329890675917,0.048718409808677955,0.4838941351804862,0.9909162553737868,760285.0,3524.0,0.75
5,82.12540679852188,75.9287262744604,67.45796852691694,61.73407003120354,55.001760787154424,49.714210007249754,68.37659781351834,0.044335058857013436,0.47403113036784045,0.9892407846279904,760285.0,3524.0,0.75
5,67.73567806752331,62.91457755941883,55.317994404551946,58.75414550973104,52.59647329909253,47.85822482437124,64.97829811836435,0.05423362433925773,0.5488091750380437,0.9888028288483327,759414.0,3949.2548332214355,0.75
5,80.99171312043336,75.08249874023683,66.80359111237087,58.30644820857733,51.980844607754975,47.126490513676686,68.32162961210976,0.04273254273803351,0.478516318678253,0.9879660185944475,760285.0,3524.0,0.75
5,68.95901176828757,63.876977565717645,56.06491060930545,60.504093188779436,54.13137149991073,49.11203310850126,62.144089666771784,0.04556640690430871,0.4686259644987003,0.9898853213633214,759267.5,3820.7523070573807,0.75
5,79.97373656252624,73.8420821260603,65.23696145124717,64.72771100565534,57.75097818287405,52.20681032794378,72.06814096499525,0.039132196071571736,0.41607048858892776,0.9897030971352515,760227.0,3572.0832602977753,0.75
5,62.389375734861844,57.695567733266145,49.95454617031998,59.961177486135384,53.680913671981216,48.61366211277315,57.35148875223378,0.055127366546000915,0.515002275452708,0.9905015458892563,760270.0,3538.8284270763397,0.75
5,80.85566132317125,74.60301713277904,65.70098996388678,62.638992512939836,55.8100966407552,50.394134900544735,58.10804031325556,0.04621379758907519,0.465047030277659,0.9911168892809878,760285.0,3524.0,0.75
5,77.31363247459478,71.50607573276224,63.479838540354415,62.41532331723321,55.62436788392892,50.07522816933137,75.0194930621255,0.046603926097466074,0.4644385161513501,0.9884490789492183,760285.0,3524.0,0.75
5,69.78320000839842,64.4990971697321,56.56965571722516,61.695347613574526,55.02162921347075,49.51630552924363,51.34814727215389,0.053103053968788706,0.5047581193307615,0.9919132836898374,760283.0,3525.6568541526794,0.75
